# stable entry ID (do not change if users may have marked as known),# Swedish word (lemma),# verb | adjective | adverb | noun | numeral | etc.,# English translation,# Brazilian Portuguese translation,# semicolon-separated inflected forms for search,# optional CEFR level (A1–C2),# optional raw corpus frequency (Kelly),# optional words-per-million frequency (Kelly),# practice | kelly | manual,# example 1 Swedish sentence,# example 1 English gloss,# example 1 Portuguese gloss,# optional: past | present | future,# optional tokens: word|lemma|en|pt;word2|lemma2|en2|pt2,# example 2 Swedish (verbs: present tense),# example 2 English,# example 2 Portuguese,# example 2 tense key,# example 2 token breakdown,# example 3 Swedish (verbs: future tense),# example 3 English,# example 3 Portuguese,# example 3 tense key,# example 3 token breakdown,# optional usage note (Kelly source text)
id,lemma,type,english,portuguese,forms,cefr,frequency,wpm,source,ex1_sv,ex1_en,ex1_pt,ex1_tense,ex1_tokens,ex2_sv,ex2_en,ex2_pt,ex2_tense,ex2_tokens,ex3_sv,ex3_en,ex3_pt,ex3_tense,ex3_tokens,usage_note
kelly-4364-apa,apa,noun,monkey / ape,macaco / mono,apa,B2,1272,11.16,kelly,,,,,,,,,,,,,,,,
kelly-7700-apelsin,apelsin,noun,orange / sweet orange,laranja,apelsin,C2,,1.84,kelly,,,,,,,,,,,,,,,,
kelly-3453-apostel,apostel,noun,apostle / Apostle,apóstolo,apostel,B1,1898,16.65,kelly,,,,,,,,,,,,,,,,
kelly-5100-apotek,apotek,noun,pharmacy / drugstore,farmácia / botica,apotek,B2,947,8.31,kelly,,,,,,,,,,,,,,,,
kelly-4652-apparat,apparat,noun,apparatus / device,aparelho / máquina,apparat,B2,1133,9.94,kelly,,,,,,,,,,,,,,,,
kelly-8219-apparatur,apparatur,noun,apparatus / equipment,aparato,apparatur,C2,,0.58,kelly,,,,,,,,,,,,,,,,
kelly-7548-appell,appell,noun,appeal,apelo,appell,C2,,2.2,kelly,,,,,,,,,,,,,,,,
kelly-5867-applicera,applicera,verb,apply,aplicar,applicera,C1,748,6.56,kelly,,,,,,,,,,,,,,,,
kelly-6397-applikation,applikation,noun,application,aplicação,applikation,C1,,5.36,kelly,,,,,,,,,,,,,,,,
kelly-5024-applad,applåd,noun,applause,aplauso,applåd,B2,974,8.54,kelly,,,,,,,,,,,,,,,,
kelly-6608-appladera,applådera,verb,applaud / clap,aplaudir,applådera,C1,,4.65,kelly,,,,,,,,,,,,,,,,
kelly-8184-aprikos,aprikos,noun,apricot,alperce / damasqueiro,aprikos,C2,,0.64,kelly,,,,,,,,,,,,,,,,
kelly-618-april,april,noun,April,abril / Abril,april,A1,18852,165.36,kelly,Det regnar ofta i april här i Sverige.,It often rains in April here in Sweden.,Chove frequentemente em abril aqui na Suécia.,,Det|det|it|isso;regnar|regnar|—|—;ofta|ofta|—|—;i|i|in|em;april|april|April|abril;här|här|here|aqui;i|i|in|em;Sverige.|sverige|—|—,Min födelsedag är den fjärde april varje år.,My birthday is on the fourth of April every year.,Meu aniversário é no dia quatro de abril todos os anos.,,Min|min|—|—;födelsedag|födelsedag|—|—;är|är|is|é;den|den|it|ele;fjärde|fjärde|—|—;april|april|April|abril;varje|varje|—|—;år.|år|—|—,Vi planerar en resa till Spanien i april.,We are planning a trip to Spain in April.,Nós estamos planejando uma viagem para a Espanha em abril.,,Vi|vi|we|nós;planerar|planerar|—|—;en|en|a|um;resa|resa|—|—;till|till|to|para;Spanien|spanien|—|—;i|i|in|em;april.|april|April|abril,
kelly-4031-apropa,apropå,preposition,apropos / apropos of,a propósito,apropå,B1,1457,12.78,kelly,,,,,,,,,,,,,,,,
kelly-7179-aptit,aptit,noun,appetite,apetite,aptit,C2,,3.03,kelly,,,,,,,,,,,,,,,,
kelly-2306-arab,arab,noun,Arab / Arabian,árabe,arab,A2,3598,31.56,kelly,Min bästa vän är en trevlig arab från Libanon.,My best friend is a nice Arab from Lebanon.,Meu melhor amigo é um árabe simpático do Líbano.,,Min|min|—|—;bästa|bästa|—|—;vän|vän|—|—;är|är|is|é;en|en|a|um;trevlig|trevlig|—|—;arab|arab|Arab|árabe;från|från|from|de;Libanon.|libanon|—|—,Han studerar arabisk kultur och läser om varje arab.,He studies Arab culture and reads about every Arab.,Ele estuda a cultura árabe e lê sobre cada árabe.,,Han|han|he|ele;studerar|studerar|—|—;arabisk|arabisk|—|—;kultur|kultur|—|—;och|och|and|e;läser|läser|—|—;om|om|about|sobre;varje|varje|—|—;arab.|arab|Arab|árabe,Många araber bor i stora städer i Mellanöstern.,Many Arabs live in large cities in the Middle East.,Muitos árabes moram em grandes cidades no Oriente Médio.,,Många|många|—|—;araber|araber|—|—;bor|bor|—|—;i|i|in|em;stora|stora|—|—;städer|städer|—|—;i|i|in|em;Mellanöstern.|mellanöstern|—|—,
kelly-2008-arabisk,arabisk,adjective,Arab / Arabic,árabe / arábico,arabisk;arabiska,A2,4380,38.42,kelly,Min vän studerar arabisk litteratur på universitetet i Lund.,My friend is studying Arabic literature at the university in Lund.,Meu amigo estuda literatura árabe na universidade em Lund.,,Min|min|—|—;vän|vän|—|—;studerar|studerar|—|—;arabisk|arabisk|Arab|árabe;litteratur|litteratur|—|—;på|på|on|em;universitetet|universitetet|—|—;i|i|in|em;Lund.|lund|—|—,Det finns många goda rätter i det arabiska köket.,There are many good dishes in Arabic cuisine.,Existem muitos pratos bons na culinária árabe.,,Det|det|it|isso;finns|finns|—|—;många|många|—|—;goda|goda|—|—;rätter|rätter|—|—;i|i|in|em;det|det|it|isso;arabiska|arabisk|Arab|árabe;köket.|köket|—|—,Han kan skriva vacker arabisk kalligrafi med en penna.,He can write beautiful Arabic calligraphy with a pen.,Ele sabe escrever uma bela caligrafia árabe com uma caneta.,,Han|han|he|ele;kan|kan|can|pode;skriva|skriva|—|—;vacker|vacker|—|—;arabisk|arabisk|Arab|árabe;kalligrafi|kalligrafi|—|—;med|med|with|com;en|en|a|um;penna.|penna|—|—,
kelly-391-arbeta,arbeta,verb,work,trabalho,arbeta;arbetade;arbetar,A1,33053,289.93,kelly,Jag arbetade hela dagen i den gamla trädgården.,I worked all day in the old garden.,Eu trabalhei o dia todo no jardim antigo.,past,Jag|jag|I|eu;arbetade|arbetade|—|—;hela|hela|—|—;dagen|dagen|—|—;i|i|in|em;den|den|it|ele;gamla|gamla|—|—;trädgården.|trädgården|—|—,Min bror arbetar på ett stort kontor i staden.,My brother works at a big office in the city.,Meu irmão trabalha em um escritório grande na cidade.,present,Min|min|—|—;bror|bror|—|—;arbetar|arbetar|—|—;på|på|on|em;ett|ett|a|um;stort|stort|—|—;kontor|kontor|—|—;i|i|in|em;staden.|staden|—|—,Vi ska arbeta tillsammans med projektet nästa vecka.,We will work together on the project next week.,Nós vamos trabalhar juntos no projeto na próxima semana.,future,Vi|vi|we|nós;ska|ska|will|vai;arbeta|arbeta|work|trabalho;tillsammans|tillsammans|—|—;med|med|with|com;projektet|projektet|—|—;nästa|nästa|—|—;vecka.|vecka|—|—,
kelly-1143-arbetare,arbetare,noun,worker / labourer,operário / trabalhador,arbetare,A1,9464,83.02,kelly,Denna unga arbetare bygger ett nytt hus i staden.,This young worker is building a new house in the city.,Este jovem operário está construindo uma casa nova na cidade.,,Denna|denna|—|—;unga|unga|—|—;arbetare|arbetare|worker|operário;bygger|bygger|—|—;ett|ett|a|um;nytt|nytt|—|—;hus|hus|—|—;i|i|in|em;staden.|staden|—|—,Varje flitig arbetare behöver en lång paus under dagen.,Every diligent worker needs a long break during the day.,Todo trabalhador dedicado precisa de uma longa pausa durante o dia.,,Varje|varje|—|—;flitig|flitig|—|—;arbetare|arbetare|worker|operário;behöver|behöver|—|—;en|en|a|um;lång|lång|—|—;paus|paus|—|—;under|under|—|—;dagen.|dagen|—|—,Många skickliga arbetare arbetar på den stora fabriken nu.,Many skilled workers are working at the big factory now.,Muitos operários qualificados estão trabalhando na grande fábrica agora.,,Många|många|—|—;skickliga|skickliga|—|—;arbetare|arbetare|worker|operário;arbetar|arbetar|—|—;på|på|on|em;den|den|it|ele;stora|stora|—|—;fabriken|fabriken|—|—;nu.|nu|now|agora,
kelly-2086-arbetarklass,arbetarklass,noun,working class,classe trabalhadora,arbetarklass,A2,4162,36.51,kelly,Min farfar tillhörde den stolta svenska arbetarklassen.,My grandfather belonged to the proud Swedish working class.,Meu avô pertencia à orgulhosa classe trabalhadora sueca.,,Min|min|—|—;farfar|farfar|—|—;tillhörde|tillhörde|—|—;den|den|it|ele;stolta|stolta|—|—;svenska|svenska|—|—;arbetarklassen.|arbetarklassen|—|—,Hela arbetarklassen kämpar för bättre löner varje år.,The entire working class fights for better wages every year.,Toda a classe trabalhadora luta por melhores salários todos os anos.,,Hela|hela|—|—;arbetarklassen|arbetarklassen|—|—;kämpar|kämpar|—|—;för|för|—|—;bättre|bättre|—|—;löner|löner|—|—;varje|varje|—|—;år.|år|—|—,Boken skildrar livet i en fattig arbetarklass i staden.,The book depicts life in a poor working class in the city.,O livro retrata a vida em uma classe trabalhadora pobre na cidade.,,Boken|boken|—|—;skildrar|skildrar|—|—;livet|livet|—|—;i|i|in|em;en|en|a|um;fattig|fattig|—|—;arbetarklass|arbetarklass|working class|classe trabalhadora;i|i|in|em;staden.|staden|—|—,
kelly-5962-arbetarparti,arbetarparti,noun,labour party / worker's party,partido trabalhista,arbetarparti,C1,731,6.41,kelly,,,,,,,,,,,,,,,,
kelly-3166-arbetarrorelse,arbetarrörelse,noun,labor movement,movimento operário,arbetarrörelse,B1,2198,19.28,kelly,Den svenska arbetarrörelsen har en lång och stolt historia.,The Swedish labor movement has a long and proud history.,O movimento operário sueco tem uma longa e orgulhosa história.,,Den|den|The|O;svenska|svenska|Swedish|sueco;arbetarrörelsen|arbetarrörelsen|labor movement|movimento operário;har|har|has|tem;en|en|a|uma;lång|lång|long|longa;och|och|and|e;stolt|stolt|proud|orgulhosa;historia.|historia|history.|história.,Många människor stöder arbetarrörelsen i dagens politiska debatt.,Many people support the labor movement in today's political debate.,Muitas pessoas apoiam o movimento operário no debate político atual.,,Många|många|Many|Muitas;människor|människor|people|pessoas;stöder|stöder|support|apoiam;arbetarrörelsen|arbetarrörelsen|labor movement|movimento operário;i|i|in|no;dagens|dagens|today's|atual;politiska|politiska|political|político;debatt.|debatt|debate.|debate.,Fackföreningar är en viktig del av arbetarrörelsen.,Trade unions are an important part of the labor movement.,Sindicatos são uma parte importante do movimento operário.,,Fackföreningar|fackföreningar|Trade unions|Sindicatos;är|är|are|são;en|en|an|uma;viktig|viktig|important|importante;del|del|part|parte;av|av|of|do;arbetarrörelsen.|arbetarrörelsen|labor movement.|movimento operário.,
kelly-290-arbete,arbete,noun,work,trabalho,arbete,A1,50378,441.9,kelly,Mitt dagliga arbete är viktigt för min framtid.,My daily work is important for my future.,Meu trabalho diário é importante para o meu futuro.,,Mitt|mitt|—|—;dagliga|dagliga|—|—;arbete|arbete|work|trabalho;är|är|is|é;viktigt|viktigt|—|—;för|för|—|—;min|min|—|—;framtid.|framtid|—|—,Hon söker ett nytt arbete i Stockholm nu.,She is looking for a new job in Stockholm now.,Ela está procurando um novo trabalho em Estocolmo agora.,,Hon|hon|she|ela;söker|söker|—|—;ett|ett|a|um;nytt|nytt|—|—;arbete|arbete|work|trabalho;i|i|in|em;Stockholm|stockholm|—|—;nu.|nu|now|agora,Det är mycket arbete att städa hela huset.,It is a lot of work to clean the whole house.,É muito trabalho limpar a casa inteira.,,Det|det|it|isso;är|är|is|é;mycket|mycket|much|muito;arbete|arbete|work|trabalho;att|att|—|—;städa|städa|—|—;hela|hela|—|—;huset.|huset|—|—,
kelly-7971-arbetsam,arbetsam,adjective,hard-working / laborious,assíduo,arbetsam,C2,,1.21,kelly,,,,,,,,,,,,,,,,
kelly-4634-arbetsdag,arbetsdag,noun,workday,dia de trabalho,arbetsdag,B2,1141,10.01,kelly,,,,,,,,,,,,,,,,
kelly-3338-arbetsformedling,arbetsförmedling,noun,job center / job centre,agência de emprego,arbetsförmedling,B1,2012,17.65,kelly,,,,,,,,,,,,,,,,
kelly-5108-arbetsgivaravgift,arbetsgivaravgift,noun,payroll tax,imposto sobre folha de pagamento,arbetsgivaravgift,B2,945,8.29,kelly,,,,,,,,,,,,,,,,
kelly-1285-arbetsgivare,arbetsgivare,noun,employer,empregador / empregadora,arbetsgivare,A1,8196,71.89,kelly,Min arbetsgivare är en mycket trevlig och hjälpsam person.,My employer is a very nice and helpful person.,Meu empregador é uma pessoa muito legal e prestativa.,,Min|min|—|—;arbetsgivare|arbetsgivare|employer|empregador;är|är|is|é;en|en|a|um;mycket|mycket|much|muito;trevlig|trevlig|—|—;och|och|and|e;hjälpsam|hjälpsam|—|—;person.|person|—|—,Du måste prata med din arbetsgivare om ditt nya kontrakt.,You must talk to your employer about your new contract.,Você precisa falar com seu empregador sobre seu novo contrato.,,Du|du|you|você;måste|måste|—|—;prata|prata|—|—;med|med|with|com;din|din|—|—;arbetsgivare|arbetsgivare|employer|empregador;om|om|about|sobre;ditt|ditt|—|—;nya|nya|—|—;kontrakt.|kontrakt|—|—,Företaget söker en ny arbetsgivare för att leda teamet.,The company is looking for a new employer to lead the team.,A empresa está procurando um novo empregador para liderar a equipe.,,Företaget|företaget|—|—;söker|söker|—|—;en|en|a|um;ny|ny|—|—;arbetsgivare|arbetsgivare|employer|empregador;för|för|—|—;att|att|—|—;leda|leda|—|—;teamet.|teamet|—|—,
kelly-3496-arbetsgrupp,arbetsgrupp,noun,workgroup,grupo de trabalho,arbetsgrupp,B1,1843,16.17,kelly,,,,,,,,,,,,,,,,
kelly-5159-arbetskamrat,arbetskamrat,noun,coworker / workmate,colega,arbetskamrat,B2,928,8.14,kelly,,,,,,,,,,,,,,,,
kelly-2332-arbetskraft,arbetskraft,noun,labor force,funcionário,arbetskraft,A2,3543,31.08,kelly,Företaget behöver mer arbetskraft för att växa snabbt.,The company needs more labor force to grow quickly.,A empresa precisa de mais mão de obra para crescer rapidamente.,,Företaget|företaget|—|—;behöver|behöver|—|—;mer|mer|—|—;arbetskraft|arbetskraft|labor force|funcionário;för|för|—|—;att|att|—|—;växa|växa|—|—;snabbt.|snabbt|quickly|rápido,Det finns en stor brist på kvalificerad arbetskraft här.,There is a large shortage of skilled labor force here.,Existe uma grande falta de mão de obra qualificada aqui.,,Det|det|it|isso;finns|finns|—|—;en|en|a|um;stor|stor|—|—;brist|brist|—|—;på|på|on|em;kvalificerad|kvalificerad|—|—;arbetskraft|arbetskraft|labor force|funcionário;här.|här|here|aqui,Många unga människor utgör en viktig del av arbetskraft.,Many young people form an important part of the labor force.,Muitos jovens formam uma parte importante da mão de obra.,,Många|många|—|—;unga|unga|—|—;människor|människor|—|—;utgör|utgör|—|—;en|en|a|um;viktig|viktig|—|—;del|del|—|—;av|av|—|—;arbetskraft.|arbetskraft|labor force|funcionário,
kelly-7752-arbetslag,arbetslag,noun,gang,direito do trabalho,arbetslag,C2,,1.72,kelly,,,,,,,,,,,,,,,,
kelly-2971-arbetsliv,arbetsliv,noun,working life,vida profissional,arbetsliv,B1,2444,21.44,kelly,Balansen mellan fritid och arbetsliv är mycket viktig.,The balance between leisure and working life is very important.,O equilíbrio entre lazer e vida profissional é muito importante.,,Balansen|balansen|The balance|O equilíbrio;mellan|mellan|between|entre;fritid|fritid|leisure|lazer;och|och|and|e;arbetsliv|arbetsliv|working life|vida profissional;är|är|is|é;mycket|mycket|very|muito;viktig.|viktig|important.|importante.,Han trivs bra i sitt nya arbetsliv som lärare.,He enjoys his new working life as a teacher.,Ele gosta bem de sua nova vida profissional como professor.,,Han|han|He|Ele;trivs|trivs|enjoys|gosta;bra|bra|well|bem;i|i|in|em;sitt|sitt|his|sua;nya|nya|new|nova;arbetsliv|arbetsliv|working life|vida profissional;som|som|as|como;lärare.|lärare|teacher.|professor.,Det moderna arbetslivet kräver ofta snabb digital kompetens.,Modern working life often requires fast digital competence.,A vida profissional moderna exige frequentemente competência digital rápida.,,Det|det|The|A;moderna|moderna|modern|moderna;arbetslivet|arbetslivet|working life|vida profissional;kräver|kräver|requires|exige;ofta|ofta|often|frequentemente;snabb|snabb|fast|rápida;digital|digital|digital|digital;kompetens.|kompetens|competence.|competência.,
kelly-1834-arbetslos,arbetslös,adjective,unemployed / jobless,desempregado,arbetslös;arbetslösa,A2,5039,44.2,kelly,Min bror har varit arbetslös i flera månader nu.,My brother has been unemployed for several months now.,Meu irmão está desempregado há vários meses agora.,,Min|min|—|—;bror|bror|—|—;har|har|has|tem;varit|varit|—|—;arbetslös|arbetslös|unemployed|desempregado;i|i|in|em;flera|flera|—|—;månader|månader|—|—;nu.|nu|now|agora,Det är svårt att vara arbetslös när man söker jobb.,It is difficult to be unemployed when looking for work.,É difícil estar desempregado quando se procura emprego.,,Det|det|it|isso;är|är|is|é;svårt|svårt|—|—;att|att|—|—;vara|vara|—|—;arbetslös|arbetslös|unemployed|desempregado;när|när|when|quando;man|man|—|—;söker|söker|—|—;jobb.|jobb|—|—,Många arbetslösa personer vill börja studera på universitetet.,Many unemployed people want to start studying at the university.,Muitas pessoas desempregadas querem começar a estudar na universidade.,,Många|många|—|—;arbetslösa|arbetslös|unemployed|desempregado;personer|personer|—|—;vill|vill|—|—;börja|börja|—|—;studera|studera|—|—;på|på|on|em;universitetet.|universitetet|—|—,
kelly-1384-arbetsloshet,arbetslöshet,noun,unemployment / joblessness,desemprego,arbetslöshet,A1,7410,65,kelly,Arbetslöshet är ett stort problem för många unga människor.,Unemployment is a big problem for many young people.,O desemprego é um grande problema para muitos jovens.,,Arbetslöshet|arbetslöshet|unemployment|desemprego;är|är|is|é;ett|ett|a|um;stort|stort|—|—;problem|problem|—|—;för|för|—|—;många|många|—|—;unga|unga|—|—;människor.|människor|—|—,Regeringen vill minska landets höga arbetslöshet genom nya jobb.,The government wants to reduce the country's high unemployment through new jobs.,O governo quer reduzir o alto desemprego do país através de novos empregos.,,Regeringen|regeringen|—|—;vill|vill|—|—;minska|minska|—|—;landets|landets|—|—;höga|höga|—|—;arbetslöshet|arbetslöshet|unemployment|desemprego;genom|genom|—|—;nya|nya|—|—;jobb.|jobb|—|—,Det finns tyvärr en ökad arbetslöshet i min hemstad nu.,"Unfortunately, there is increased unemployment in my hometown now.","Infelizmente, há um aumento do desemprego na minha cidade natal agora.",,Det|det|it|isso;finns|finns|—|—;tyvärr|tyvärr|—|—;en|en|a|um;ökad|ökad|—|—;arbetslöshet|arbetslöshet|unemployment|desemprego;i|i|in|em;min|min|—|—;hemstad|hemstad|—|—;nu.|nu|now|agora,
kelly-1346-arbetsmarknad,arbetsmarknad,noun,labour market / labor market,mercado de trabalho,arbetsmarknad,A1,7668,67.26,kelly,Det är svårt att komma in på den svenska arbetsmarknaden.,It is difficult to enter the Swedish labor market.,É difícil entrar no mercado de trabalho sueco.,,Det|det|it|isso;är|är|is|é;svårt|svårt|—|—;att|att|—|—;komma|komma|—|—;in|in|—|—;på|på|on|em;den|den|it|ele;svenska|svenska|—|—;arbetsmarknaden.|arbetsmarknaden|—|—,Många unga söker jobb på en tuff arbetsmarknad idag.,Many young people are looking for jobs in a tough labor market today.,Muitos jovens procuram emprego em um mercado de trabalho difícil hoje.,,Många|många|—|—;unga|unga|—|—;söker|söker|—|—;jobb|jobb|—|—;på|på|on|em;en|en|a|um;tuff|tuff|—|—;arbetsmarknad|arbetsmarknad|labour market|mercado de trabalho;idag.|idag|today|hoje,Utbildning ger bättre chanser på vår moderna arbetsmarknad.,Education provides better opportunities in our modern labor market.,A educação oferece melhores chances no nosso mercado de trabalho moderno.,,Utbildning|utbildning|—|—;ger|ger|—|—;bättre|bättre|—|—;chanser|chanser|—|—;på|på|on|em;vår|vår|—|—;moderna|moderna|—|—;arbetsmarknad.|arbetsmarknad|labour market|mercado de trabalho,e.g. arbetsmarknaden
kelly-5602-arbetsmarknadspolitik,arbetsmarknadspolitik,noun,labour market policies,políticas do mercado de trabalho,arbetsmarknadspolitik,B2,809,7.1,kelly,,,,,,,,,,,,,,,,
kelly-1975-arbetsplats,arbetsplats,noun,workplace / job,local de trabalho,arbetsplats,A2,4521,39.66,kelly,Min nya arbetsplats ligger nära stadens stora tågstation.,My new workplace is located near the city's main train station.,Meu novo local de trabalho fica perto da grande estação de trem da cidade.,,Min|min|—|—;nya|nya|—|—;arbetsplats|arbetsplats|workplace|local de trabalho;ligger|ligger|—|—;nära|nära|—|—;stadens|stadens|—|—;stora|stora|—|—;tågstation.|tågstation|—|—,Alla anställda trivs mycket bra på sin gemensamma arbetsplats.,All employees enjoy their shared workplace very much.,Todos os funcionários gostam muito do seu local de trabalho compartilhado.,,Alla|alla|—|—;anställda|anställda|—|—;trivs|trivs|—|—;mycket|mycket|much|muito;bra|bra|good|bom;på|på|on|em;sin|sin|—|—;gemensamma|gemensamma|—|—;arbetsplats.|arbetsplats|workplace|local de trabalho,Det är viktigt att ha en lugn och ren arbetsplats.,It is important to have a quiet and clean workplace.,É importante ter um local de trabalho calmo e limpo.,,Det|det|it|isso;är|är|is|é;viktigt|viktigt|—|—;att|att|—|—;ha|ha|—|—;en|en|a|um;lugn|lugn|—|—;och|och|and|e;ren|ren|—|—;arbetsplats.|arbetsplats|workplace|local de trabalho,
kelly-7439-arbetsrum,arbetsrum,noun,study / workroom,escritório,arbetsrum,C2,,2.5,kelly,,,,,,,,,,,,,,,,
kelly-5397-arbetssatt,arbetssätt,noun,mode of working,modo de trabalho,arbetssätt,B2,861,7.55,kelly,,,,,,,,,,,,,,,,
kelly-2022-arbetstagare,arbetstagare,noun,employee,assalariado,arbetstagare,A2,4351,38.17,kelly,Varje arbetstagare har rätt till en trygg arbetsmiljö.,Every employee has the right to a safe work environment.,Todo empregado tem direito a um ambiente de trabalho seguro.,,Varje|varje|—|—;arbetstagare|arbetstagare|employee|assalariado;har|har|has|tem;rätt|rätt|right|certo;till|till|to|para;en|en|a|um;trygg|trygg|—|—;arbetsmiljö.|arbetsmiljö|—|—,Företaget söker en ny arbetstagare till sitt kontor.,The company is looking for a new employee for its office.,A empresa está procurando um novo funcionário para seu escritório.,,Företaget|företaget|—|—;söker|söker|—|—;en|en|a|um;ny|ny|—|—;arbetstagare|arbetstagare|employee|assalariado;till|till|to|para;sitt|sitt|—|—;kontor.|kontor|—|—,Denna arbetstagare gör ett mycket bra jobb varje dag.,This employee does a very good job every day.,Este funcionário faz um trabalho muito bom todos os dias.,,Denna|denna|—|—;arbetstagare|arbetstagare|employee|assalariado;gör|gör|—|—;ett|ett|a|um;mycket|mycket|much|muito;bra|bra|good|bom;jobb|jobb|—|—;varje|varje|—|—;dag.|dag|—|—,
kelly-3114-arbetstid,arbetstid,noun,working time / hours of work,horário de trabalho,arbetstid,B1,2258,19.81,kelly,Min arbetstid börjar klockan åtta varje morgon.,My working time starts at eight every morning.,Meu horário de trabalho começa às oito toda manhã.,,Min|min|My|Meu;arbetstid|arbetstid|working time|horário de trabalho;börjar|börjar|starts|começa;klockan|klockan|at|às;åtta|åtta|eight|oito;varje|varje|every|toda;morgon.|morgon|morning.|manhã.,Vi diskuterar flexibel arbetstid på kontoret idag.,We are discussing flexible working hours at the office today.,Nós discutimos horário de trabalho flexível no escritório hoje.,,Vi|vi|We|Nós;diskuterar|diskuterar|are discussing|discutimos;flexibel|flexibel|flexible|flexível;arbetstid|arbetstid|working hours|horário de trabalho;på|på|at|no;kontoret|kontoret|the office|escritório;idag.|idag|today.|hoje.,Hennes nya kontrakt anger en begränsad arbetstid.,Her new contract specifies a limited working time.,O novo contrato dela especifica um horário de trabalho limitado.,,Hennes|hennes|Her|O... dela;nya|nya|new|novo;kontrakt|kontrakt|contract|contrato;anger|anger|specifies|especifica;en|en|a|um;begränsad|begränsad|limited|limitado;arbetstid.|arbetstid|working time.|horário de trabalho.,
kelly-4285-arbetstillfalle,arbetstillfälle,noun,job,local de trabalho,arbetstillfälle,B2,1313,11.52,kelly,,,,,,,,,,,,,,,,
kelly-3318-arbetsuppgift,arbetsuppgift,noun,assignment / chore,atarefar,arbetsuppgift,B1,2027,17.78,kelly,Min viktigaste arbetsuppgift är att skriva färdigt rapporten idag.,My most important assignment is to finish writing the report today.,Minha tarefa mais importante é terminar de escrever o relatório hoje.,,Min|min|My|Minha;viktigaste|viktigaste|most important|mais importante;arbetsuppgift|arbetsuppgift|assignment|tarefa;är|är|is|é;att|att|to|de;skriva|skriva|write|escrever;färdigt|färdigt|finish|terminar;rapporten|rapporten|the report|o relatório;idag.|idag|today.|hoje.,Varje ny arbetsuppgift kräver mycket fokus och noggrann planering.,Every new assignment requires much focus and careful planning.,Cada nova tarefa requer muito foco e planejamento cuidadoso.,,Varje|varje|Every|Cada;ny|ny|new|nova;arbetsuppgift|arbetsuppgift|assignment|tarefa;kräver|kräver|requires|requer;mycket|mycket|much|muito;fokus|fokus|focus|foco;och|och|and|e;noggrann|noggrann|careful|cuidadoso;planering.|planering|planning.|planejamento.,Chefen gav mig en svår arbetsuppgift inför nästa stora möte.,The boss gave me a difficult assignment before the next big meeting.,O chefe me deu uma tarefa difícil antes da próxima grande reunião.,,Chefen|chefen|The boss|O chefe;gav|gav|gave|deu;mig|mig|me|me;en|en|a|uma;svår|svår|difficult|difícil;arbetsuppgift|arbetsuppgift|assignment|tarefa;inför|inför|before|antes da;nästa|nästa|next|próxima;stora|stora|big|grande;möte.|möte|meeting.|reunião.,
kelly-7513-area,area,noun,area,área,area,C2,,2.3,kelly,,,,,,,,,,,,,,,,
kelly-6908-areal,areal,noun,area,área,areal,C1,,3.69,kelly,,,,,,,,,,,,,,,,
kelly-2897-arena,arena,noun,arena,arena,arena,B1,2549,22.36,kelly,Artisten klev ut på den stora arenan.,The artist stepped out onto the big arena.,O artista saiu para a grande arena.,,Artisten|artisten|The artist|O artista;klev|klev|stepped|saiu;ut|ut|out|para;på|på|onto|a;den|den|the|a;stora|stora|big|grande;arenan.|arenan|arena.|arena.,Publiken fyllde snabbt hela den moderna arenan.,The audience quickly filled the entire modern arena.,O público encheu rapidamente toda a arena moderna.,,Publiken|publiken|The audience|O público;fyllde|fyllde|filled|encheu;snabbt|snabbt|quickly|rapidamente;hela|hela|entire|toda;den|den|the|a;moderna|moderna|modern|moderna;arenan.|arenan|arena.|arena.,Vi besökte en ishockeyarena i norra Sverige.,We visited an ice hockey arena in northern Sweden.,Nós visitamos uma arena de hóquei no gelo no norte da Suécia.,,Vi|vi|We|Nós;besökte|besökte|visited|visitamos;en|en|an|uma;ishockeyarena|ishockeyarena|ice hockey arena|arena de hóquei no gelo;i|i|in|no;norra|norra|northern|norte da;Sverige.|sverige|Sweden.|Suécia.,
kelly-2143-arg,arg,adjective,angry,zangado / bravo,arg,A2,3994,35.03,kelly,Min pappa blir arg när jag kommer hem sent.,My dad gets angry when I come home late.,Meu pai fica zangado quando eu chego tarde em casa.,,Min|min|—|—;pappa|pappa|—|—;blir|blir|—|—;arg|arg|angry|zangado;när|när|when|quando;jag|jag|I|eu;kommer|kommer|—|—;hem|hem|home|casa;sent.|sent|—|—,Varför är du så arg på din bästa vän?,Why are you so angry at your best friend?,Por que você está tão bravo com seu melhor amigo?,,Varför|varför|why|porquê;är|är|is|é;du|du|you|você;så|så|—|—;arg|arg|angry|zangado;på|på|on|em;din|din|—|—;bästa|bästa|—|—;vän?|vän|—|—,Hunden ser arg ut eftersom den vill ha mat.,The dog looks angry because it wants food.,O cachorro parece bravo porque ele quer comida.,,Hunden|hunden|—|—;ser|ser|—|—;arg|arg|angry|zangado;ut|ut|out|fora;eftersom|eftersom|—|—;den|den|it|ele;vill|vill|—|—;ha|ha|—|—;mat.|mat|food|comida,
